"id","user_id","date","amount","vat_code","direct_account","offset_account","client_details","system_details","internal_bill_number","original_bill_number","created_at","updated_at","deleted_at"
1,1,"2018-02-28",232.60,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 232,60] <-- 4300 Erlöse 7% USt. [EUR 217,38], 3801 [EUR 15,22]","000081",291,"2019-11-16 20:09:33","2019-11-16 20:09:33",NULL
2,1,"2018-03-02",340.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 340,00] <-- 4300 Erlöse 7% USt. [EUR 317,76], 3801 [EUR 22,24]","000004",292,"2019-11-16 20:09:33","2019-11-16 20:09:33",NULL
3,1,"2018-03-03",283.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 283,00] <-- 4300 Erlöse 7% USt. [EUR 264,49], 3801 [EUR 18,51]","000009",293,"2019-11-16 20:09:33","2019-11-16 20:09:33",NULL
4,1,"2018-03-05",103.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 103,00] <-- 4300 Erlöse 7% USt. [EUR 96,26], 3801 [EUR 6,74]","000013",294,"2019-11-16 20:09:33","2019-11-16 20:09:33",NULL
5,1,"2018-03-06",270.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 270,00] <-- 4300 Erlöse 7% USt. [EUR 252,34], 3801 [EUR 17,66]","000017",295,"2019-11-16 20:09:34","2019-11-16 20:09:34",NULL
6,1,"2018-03-07",170.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 170,00] <-- 4300 Erlöse 7% USt. [EUR 158,88], 3801 [EUR 11,12]","000022",296,"2019-11-16 20:09:34","2019-11-16 20:09:34",NULL
7,1,"2018-03-08",145.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 145,00] <-- 4300 Erlöse 7% USt. [EUR 135,51], 3801 [EUR 9,49]","000025",297,"2019-11-16 20:09:34","2019-11-16 20:09:34",NULL
8,1,"2018-03-09",238.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 238,00] <-- 4300 Erlöse 7% USt. [EUR 222,43], 3801 [EUR 15,57]","000030",298,"2019-11-16 20:09:34","2019-11-16 20:09:34",NULL
9,1,"2018-03-10",216.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 216,00] <-- 4300 Erlöse 7% USt. [EUR 201,87], 3801 [EUR 14,13]","000036",299,"2019-11-16 20:09:34","2019-11-16 20:09:34",NULL
10,1,"2018-03-11",152.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 152,00] <-- 4300 Erlöse 7% USt. [EUR 142,06], 3801 [EUR 9,94]","000040",300,"2019-11-16 20:09:34","2019-11-16 20:09:34",NULL
11,1,"2018-03-11",152.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 152,00] <-- 4300 Erlöse 7% USt. [EUR 142,06], 3801 [EUR 9,94]","000041",301,"2019-11-16 20:09:34","2019-11-20 17:02:27","2019-11-20 17:02:27"
12,1,"2018-03-12",148.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 148,00] <-- 4300 Erlöse 7% USt. [EUR 138,32], 3801 [EUR 9,68]","000048",302,"2019-11-16 20:09:34","2019-11-16 20:09:34",NULL
13,1,"2018-03-13",148.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 148,00] <-- 4300 Erlöse 7% USt. [EUR 138,32], 3801 [EUR 9,68]","000052",303,"2019-11-16 20:09:34","2019-11-20 17:03:04","2019-11-20 17:03:04"
15,1,"2018-03-13",148.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 148,00] <-- 4300 Erlöse 7% USt. [EUR 138,32], 3801 [EUR 9,68]","000053",305,"2019-11-16 20:09:34","2019-11-16 20:09:34",NULL
16,1,"2018-03-14",131.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 131,00] <-- 4300 Erlöse 7% USt. [EUR 122,43], 3801 [EUR 8,57]","000061",306,"2019-11-16 20:09:34","2019-11-16 20:09:34",NULL
18,1,"2018-03-15",217.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 217,00] <-- 4300 Erlöse 7% USt. [EUR 202,80], 3801 [EUR 14,20]","000065",308,"2019-11-16 20:09:34","2019-11-16 20:09:34",NULL
19,1,"2018-03-16",310.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 310,00] <-- 4300 Erlöse 7% USt. [EUR 289,72], 3801 [EUR 20,28]","000068",309,"2019-11-16 20:09:34","2019-11-16 20:09:34",NULL
23,1,"2018-03-17",136.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 136,00] <-- 4300 Erlöse 7% USt. [EUR 127,10], 3801 [EUR 8,90]","000072",313,"2019-11-16 20:09:34","2019-11-16 20:09:34",NULL
24,1,"2018-03-18",225.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 225,00] <-- 4300 Erlöse 7% USt. [EUR 210,28], 3801 [EUR 14,72]","000077",314,"2019-11-16 20:09:34","2019-11-16 20:09:34",NULL
25,1,"2018-03-19",149.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 149,00] <-- 4300 Erlöse 7% USt. [EUR 139,25], 3801 [EUR 9,75]","000081",315,"2019-11-16 20:09:34","2019-11-16 20:09:34",NULL
26,1,"2018-03-20",90.00,8,1600,4300,"Taxischicht im Pflichtfahrgebiet","1600 Kasse  [EUR 90,00] <-- 4300 Erlöse 7% USt. [EUR 84,11], 3801 [EUR 5,89]","000085",316,"2019-11-16 20:09:34","2019-11-16 20:09:34",NULL
