"Belegnummer","Datum","Betrag","MwSt. Schlüssel","Soll","Haben","Nutzerdetails","Systemdetails"
"0","2017-12-31","-9,98","9","7810","26401","mytaxi-Kartenzahlungen (Gebühr)","7810 Auftragsvermittlung myTaxi [EUR 8,39], 1406 [EUR 1,59] <-- 26401 Bargeldlose Zahlungen myTaxi [EUR 9,98]"
"0","2018-01-01","+500,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 500,00] <-- 1460 Geldtransit [EUR 500,00]"
"1","2018-01-01","+274,14","0","1600","9000","Kassenbestand vom 31.12.2017","1600 Kasse [EUR 274,14] <-- 9000 Saldenvorträge, Sachkonten [EUR 274,14]"
"2","2018-01-01","-6,00","9","5906","1600","Taxiwäsche","5906 Fremdleistungen 19% Vorsteuer [EUR 5,04], 1406 [EUR 0,96] <-- 1600 Kasse [EUR 6,00]"
"3","2018-01-01","+451,10","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 451,10] <-- 4300 Erlo?se 7% USt. [EUR 421,59], 3801 [EUR 29,51]"
"4","2018-01-01","+26,46","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 26,46] <-- 4300 Erlo?se 7% USt. [EUR 24,73], 3801 [EUR 1,73]"
"5","2018-01-01","-50,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 50,00] <-- 1600 Kasse [EUR 50,00]"
"6","2018-01-01","-500,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 500,00] <-- 1600 Kasse [EUR 500,00]"
"7","2018-01-01","+163,50","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 163,50] <-- 4300 Erlo?se 7% USt. [EUR 152,80], 3801 [EUR 10,70]"
"8","2018-01-01","+8,50","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 8,50] <-- 4300 Erlo?se 7% USt. [EUR 7,94], 3801 [EUR 0,56]"
"0","2018-01-02","+170,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 170,00] <-- 1460 Geldtransit [EUR 170,00]"
"0","2018-01-02","+54,11","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 54,11] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 54,11]"
"0","2018-01-02","+11,56","0","1800","9000","Bank Anfangsbestand","1800 Bank [EUR 11,56] <-- 9000 Saldenvorträge, Sachkonten [EUR 11,56]"
"9","2018-01-02","-170,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 170,00] <-- 1600 Kasse [EUR 170,00]"
"10","2018-01-02","+131,30","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 131,30] <-- 4300 Erlo?se 7% USt. [EUR 122,71], 3801 [EUR 8,59]"
"11","2018-01-02","+7,30","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 7,30] <-- 4300 Erlo?se 7% USt. [EUR 6,82], 3801 [EUR 0,48]"
"0","2018-01-03","7,55","0","6495","2100","Entwicklungseditor / JetBrains","6495 Wartungskosten für Hard- und Software [EUR 7,55] <-- 2100 Privatentnahmen allgemein [EUR 7,55]"
"0","2018-01-03","+62,30","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 62,30] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 62,30]"
"0","2018-01-03","+20,72","0","1800","26401","mytaxi-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 20,72] <-- 26401 Bargeldlose Zahlungen myTaxi [EUR 20,72]"
"0","2018-01-03","-123,76","9","5906","1800","Coworkingspace / Bürobedarf","5906 Fremdleistungen 19% Vorsteuer [EUR 104,00], 1406 [EUR 19,76] <-- 1800 Bank [EUR 123,76]"
"0","2018-01-03","-231,47","0","6520","1800","Taxi Kfz-Versicherung B-E4305 / Zurich","6520 Kfz-Versicherungen [EUR 231,47] <-- 1800 Bank [EUR 231,47]"
"12","2018-01-03","+25,80","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 25,80] <-- 4300 Erlöse 7% USt. [EUR 24,11], 3801 [EUR 1,69]"
"13","2018-01-03","+1,20","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 1,20] <-- 4300 Erlöse 7% USt. [EUR 1,12], 3801 [EUR 0,08]"
"14","2018-01-03","-50,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 50,00] <-- 1600 Kasse [EUR 50,00]"
"0","2018-01-04","+50,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 50,00] <-- 1460 Geldtransit [EUR 50,00]"
"0","2018-01-04","+100,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 100,00] <-- 1460 Geldtransit [EUR 100,00]"
"0","2018-01-04","-25,00","0","6550","1800","DEGEWO Abstellplatz Taxi B-E4305","6550 Garagenmiete [EUR 25,00] <-- 1800 Bank [EUR 25,00]"
"15","2018-01-04","-100,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 100,00] <-- 1600 Kasse [EUR 100,00]"
"16","2018-01-04","-50,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 50,00] <-- 1600 Kasse [EUR 50,00]"
"17","2018-01-04","+56,10","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 56,10] <-- 4300 Erlöse 7% USt. [EUR 52,43], 3801 [EUR 3,67]"
"18","2018-01-04","+3,40","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 3,40] <-- 4300 Erlöse 7% USt. [EUR 3,18], 3801 [EUR 0,22]"
"0","2018-01-05","-396,74","0","2100","1800","Wohnungsmiete Lehrter Str. 8, 10557 Berlin","2100 Privatentnahmen allgemein [EUR 396,74] <-- 1800 Bank [EUR 396,74]"
"19","2018-01-05","+79,50","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 79,50] <-- 4300 Erlöse 7% USt. [EUR 74,30], 3801 [EUR 5,20]"
"20","2018-01-05","+3,80","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 3,80] <-- 4300 Erlöse 7% USt. [EUR 3,55], 3801 [EUR 0,25]"
"21","2018-01-06","+108,10","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 108,10] <-- 4300 Erlöse 7% USt. [EUR 101,03], 3801 [EUR 7,07]"
"22","2018-01-06","+4,07","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 4,07] <-- 4300 Erlöse 7% USt. [EUR 3,80], 3801 [EUR 0,27]"
"23","2018-01-06","-50,00","0","2100","1600","Eigenbeleg über Privatentnahme","2100 Privatentnahmen allgemein [EUR 50,00] <-- 1600 Kasse [EUR 50,00]"
"0","2018-01-08","-444,00","9","5400","1800","Winterreifen Taxi B-E4305","5400 Wareneingang 19% Vorsteuer [EUR 373,11], 1406 [EUR 70,89] <-- 1800 Bank [EUR 444,00]"
"24","2018-01-08","-6,47","9","5400","1600","Betriebsbedarf","5400 Wareneingang 19% Vorsteuer [EUR 5,44], 1406 [EUR 1,03] <-- 1600 Kasse [EUR 6,47]"
"25","2018-01-08","-2,90","0","6800","1600","Porto","6800 Porto [EUR 2,90] <-- 1600 Kasse [EUR 2,90]"
"0","2018-01-09","-15,99","9","7810","26401","mytaxi-Kartenzahlungen (Gebühr)","7810 Auftragsvermittlung myTaxi [EUR 13,44], 1406 [EUR 2,55] <-- 26401 Bargeldlose Zahlungen myTaxi [EUR 15,99]"
"0","2018-01-09","+0,97","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 0,97] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 0,97]"
"0","2018-01-09","-1,29","0","6855","1800","Bankgebühr","6855 Nebenkosten des Geldverkehrs [EUR 1,29] <-- 1800 Bank [EUR 1,29]"
"26","2018-01-09","-98,80","0","26401","1600","mytaxi-Kartenzahlungen (Debitor)","26401 Bargeldlose Zahlungen myTaxi [EUR 98,80] <-- 1600 Kasse [EUR 98,80]"
"0","2018-01-10","-9,33","9","5906","1800","Vodafone Mobilfunk","5906 Fremdleistungen 19% Vorsteuer [EUR 7,84], 1406 [EUR 1,49] <-- 1800 Bank [EUR 9,33]"
"0","2018-01-12","+82,81","0","1800","26401","mytaxi-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 82,81] <-- 26401 Bargeldlose Zahlungen myTaxi [EUR 82,81]"
"0","2018-01-14","9,99","0","6495","2100","Photoshop / Adobe","6495 Wartungskosten für Hard- und Software [EUR 9,99] <-- 2100 Privatentnahmen allgemein [EUR 9,99]"
"0","2018-01-14","+1.000,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 1.000,00] <-- 1460 Geldtransit [EUR 1.000,00]"
"27","2018-01-14","+1.000,00","9","1600","4845","Verkauf Taxi B-PA9063 (Anzahlung)","1600 Kasse [EUR 1.000,00] <-- 4845 Erlöse aus Verkäufen Sachanlagevermögen 19% USt (bei Buchgewinn) [EUR 840,34], 3806 [EUR 159,66]"
"28","2018-01-14","-1.000,00","0","1460","1600","Einzahlungsbeleg","1460 Geldtransit [EUR 1.000,00] <-- 1600 Kasse [EUR 1.000,00]"
"29","2018-01-14","+32,80","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 32,80] <-- 4300 Erlöse 7% USt. [EUR 30,65], 3801 [EUR 2,15]"
"0","2018-01-15","-193,75","9","5400","1800","Diesel / TotalCard","5400 Wareneingang 19% Vorsteuer [EUR 156,94], 1406 [EUR 36,81] <-- 1800 Bank [EUR 193,75]"
"30","2018-01-15","-6,99","0","6800","1600","Porto","6800 Porto [EUR 6,99] <-- 1600 Kasse [EUR 6,99]"
"31","2018-01-15","+189,90","8","1600","4300","Taxischicht im Pflichtfahrgebiet","1600 Kasse [EUR 189,90] <-- 4300 Erlöse 7% USt. [EUR 177,48], 3801 [EUR 12,42]"
"32","2018-01-15","+7,60","8","1600","4300","Trinkgeld aus einer Taxischicht","1600 Kasse [EUR 7,60] <-- 4300 Erlöse 7% USt. [EUR 7,10], 3801 [EUR 0,50]"
"0","2018-01-16","-9,07","9","7810","26401","mytaxi-Kartenzahlungen (Gebühr)","7810 Auftragsvermittlung myTaxi [EUR 7,62], 1406 [EUR 1,45] <-- 26401 Bargeldlose Zahlungen myTaxi [EUR 9,07]"
"0","2018-01-16","+100,00","0","1800","1460","Einzahlungsbeleg","1800 Bank [EUR 100,00] <-- 1460 Geldtransit [EUR 100,00]"
"0","2018-01-16","+19,81","0","1800","26400","Sumup-Kartenzahlungen (Auszahlung)","1800 Bank [EUR 19,81] <-- 26400 Bargeldlose Zahlungen SumUp [EUR 19,81]"
"0","2018-01-16","-249,00","0","2150","1800","34/484/00779 Einkommensteuer 4.Vj.17, 991","2150 Privatsteuern [EUR 249,00] <-- 1800 Bank [EUR 249,00]"
