Persnr;Name;Startdatum;Startzeit;Endedatum;Endezeit;Taxi;Kilometerabfahrt;Kilometerankunft;Kilometer;Umsatzabfahrt;Umsatzankunft;Umsatz;7% ohne Taxameter;19% ohne Taxameter;Fehlfahrt;Stunden;Pause;Zuschlagabfahrt;Zuschlagankunft;Zuschlag;Besetztkmabfahrt;Besetztkmankunft;Besetztkm;Tourenabfahrt;Tourenankunft;Touren;e_link;Schichtnummer;ignore
3;;01.01.18;16:36;02.01.18;00:13;4305;26599,500;26730,500;131,000;5271,70;5431,20;159,50;0,00;0,00;0,00;7,617;0,000;1212,50;1216,50;4,00;14297,200;14365,100;67,900;2212;2222;10;4305201801011636;251;0
3;;02.01.18;08:57;03.01.18;00:00;4305;26730,500;26811,500;81,000;5431,20;5559,00;127,80;0,00;0,00;0,00;15,050;0,000;1216,50;1220,00;3,50;14365,100;14415,800;50,700;2222;2230;8;4305201801020857;252;0
3;;03.01.18;19:38;04.01.18;01:15;4305;26811,500;26841,500;30,000;5559,00;5584,80;25,80;0,00;0,00;0,00;5,617;0,000;1220,00;1220,00;0,00;14415,800;14424,300;8,500;2230;2232;2;4305201801031938;253;0
3;;04.01.18;09:03;04.01.18;23:13;4305;26841,500;26895,400;53,900;5584,80;5638,90;54,10;0,00;0,00;0,00;14,167;0,000;1220,00;1222,00;2,00;14424,300;14447,400;23,100;2232;2235;3;4305201801040903;254;0
3;;05.01.18;18:18;05.01.18;23:58;4305;26895,400;26956,100;60,700;5638,90;5713,90;75,00;0,00;0,00;0,00;5,667;0,000;1222,00;1226,50;4,50;14447,400;14474,300;26,900;2235;2241;6;4305201801051818;255;0
99999;Betriebsfahrt;05.01.18;23:58;06.01.18;17:57;4305;26956,100;26960,900;4,800;5713,90;5713,90;0,00;0,00;0,00;0,00;0,000;0,000;1226,50;1226,50;0,00;14474,300;14474,300;0,000;2241;2241;0;4305201801052358;0;0
3;;06.01.18;17:57;07.01.18;09:00;4305;26960,900;27049,900;89,000;5713,90;5817,50;103,60;0,00;0,00;0,00;15,050;0,000;1226,50;1231,00;4,50;14474,300;14511,000;36,700;2241;2249;8;4305201801061757;256;0
99999;Betriebsfahrt;07.01.18;09:00;14.01.18;18:56;4305;27049,900;27050,700;0,800;5817,50;5817,50;0,00;0,00;0,00;0,00;0,000;0,000;1231,00;1231,00;0,00;14511,000;14511,000;0,000;2249;2249;0;4305201801070900;0;0
3;;14.01.18;18:56;14.01.18;21:57;4305;27050,700;27087,400;36,700;5817,50;5847,30;29,80;0,00;0,00;0,00;3,017;0,000;1231,00;1234,00;3,00;14511,000;14522,000;11,000;2249;2251;2;4305201801141856;257;0
3;;15.01.18;18:19;16.01.18;09:22;4305;27087,400;27204,000;116,600;5847,30;6035,20;187,90;0,00;0,00;0,00;15,050;0,000;1234,00;1236,00;2,00;14522,000;14606,400;84,400;2251;2260;9;4305201801151819;258;0
